"Player","Season","Season Age","Gen. Role","Role","DAVIES","Box Activity","Shooting","Final Ball","Dribbles and Carries","Buildup Passing","Defense","Min","Team","League","Nation","League Gender"
"Jordan Ikoko","2018-2019",24,"Wide Def","Aggressive Wide Defender",-0.05,0,-0.01,0,0.01,-0.02,-0.02,1707,"Guingamp","Ligue 1","COD","M"
"Kevin Agudelo","2020-2021",21,"Dribbler","Direct Dribbler",-0.05,0,-0.05,-0.01,0,0.01,0.02,1356,"Spezia","Serie A M","COL","M"
"Domagoj Bradarić","2019-2020",19,"Wide Def","Aggressive Wide Defender",-0.05,-0.01,0,0.01,0,-0.03,-0.02,1419,"Lille","Ligue 1","CRO","M"
"Emiliano Insúa","2017-2018",28,"Wide Def","Aggressive Wide Defender",-0.05,0,-0.01,0,0.01,-0.02,-0.01,2106,"Stuttgart","Bundesliga","ARG","M"
"Xavi Quintillà","2019-2020",22,"Wide Def","Deep Wide Defender",-0.05,-0.01,-0.02,0.01,-0.01,-0.01,-0.01,1573,"Villarreal","La Liga","ESP","M"
"Fabio Pisacane","2018-2019",32,"Central Def","Reactive Central Defender",-0.05,0,-0.01,0,-0.01,-0.03,-0.01,2266,"Cagliari","Serie A M","ITA","M"
"Etienne Youte Kinkoue","2023-2024",21,"Central Def","Reactive Central Defender",-0.05,0,-0.01,0,-0.01,-0.02,0.01,1941,"Le Havre","Ligue 1","FRA","M"
"Jerdy Schouten","2019-2020",22,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,0,0,-0.01,-0.03,0.01,1082,"Bologna","Serie A M","NED","M"
"Robin Knoche","2023-2024",31,"Central Def","Progressive Central Defender",-0.05,0,-0.01,0,0,-0.01,-0.01,1917,"Union Berlin","Bundesliga","GER","M"
"Andrés Cubas","2020-2021",24,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,-0.01,0,-0.01,-0.02,0.01,2242,"Nîmes","Ligue 1","PAR","M"
"Manu García","2019-2020",33,"Midfielder","Ball Winning Midfielder",-0.05,0,0,-0.02,-0.01,-0.03,0.01,1967,"Alavés","La Liga","ESP","M"
"Diego Costa","2022-2023",33,"Finisher","Mobile Forward",-0.05,0,-0.02,-0.01,0,0,0,1241,"Wolves","Premier League","ESP","M"
"Daniel Bessa","2017-2018",24,"Creator","Central Creator",-0.05,-0.01,-0.03,-0.01,0,0.01,0,1389,"Hellas Verona","Serie A M","ITA","M"
"Giuseppe Pezzella","2017-2018",19,"Wide Def","Aggressive Wide Defender",-0.05,0,0.01,0.01,-0.01,-0.01,0,903,"Udinese","Serie A M","ITA","M"
"Xavi Quintillà","2018-2019",21,"Wide Def","Deep Wide Defender",-0.05,-0.01,-0.01,-0.01,0,0.02,-0.02,627,"Villarreal","La Liga","ESP","M"
"Manu Morlanes","2022-2023",23,"Midfielder","Ball Winning Midfielder",-0.05,-0.01,-0.01,0,0,0,0,706,"Mallorca","La Liga","ESP","M"
"Isaac Success","2023-2024",27,"Finisher","Progressive Forward",-0.05,-0.02,-0.05,0,0,0.01,0,880,"Udinese","Serie A M","NGA","M"
"Lassana Coulibaly","2020-2021",24,"Midfielder","Ball Winning Midfielder",-0.05,-0.01,-0.02,-0.01,0,-0.01,0.02,1687,"Angers","Ligue 1","MLI","M"
"Jens Petter Hauge","2021-2022",21,"Dribbler","Direct Dribbler",-0.05,0,-0.02,-0.01,-0.01,-0.01,-0.01,1040,"Eint Frankfurt","Bundesliga","NOR","M"
"Miloš Veljković","2020-2021",24,"Central Def","Progressive Central Defender",-0.05,-0.01,-0.01,0,-0.01,-0.04,0.02,1723,"Werder Bremen","Bundesliga","SRB","M"
"Soualiho Meïté","2022-2023",28,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,-0.01,-0.01,0,-0.03,0,2366,"Cremonese","Serie A M","FRA","M"
"Tetê","2022-2023",22,"Dribbler","Direct Dribbler",-0.05,-0.01,-0.01,-0.02,0.01,0.01,0,734,"Leicester City","Premier League","BRA","M"
"Jorge Herrando","2023-2024",22,"Central Def","Aggressive Central Defender",-0.05,0,-0.01,0,0,-0.01,-0.01,1644,"Osasuna","La Liga","ESP","M"
"Bakary Koné","2017-2018",29,"Central Def","Reactive Central Defender",-0.05,0,0,0,0,-0.01,-0.02,2462,"Strasbourg","Ligue 1","BFA","M"
"Alex Ferrari","2021-2022",27,"Central Def","Aggressive Central Defender",-0.05,-0.01,-0.01,0,-0.01,-0.02,0.01,1643,"Sampdoria","Serie A M","ITA","M"
"Kristoffer Askildsen","2021-2022",20,"Midfielder","Ball Winning Midfielder",-0.05,0,-0.03,0,-0.01,-0.02,0.01,754,"Sampdoria","Serie A M","NOR","M"
"Diego González","2021-2022",26,"Central Def","Reactive Central Defender",-0.05,0,-0.01,0,0,-0.03,0,1793,"Elche","La Liga","ESP","M"
"Carlos Gruezo","2020-2021",25,"Deep Midfielder","Defensive Deep Midfielder",-0.05,-0.01,-0.01,-0.01,0,-0.01,0,2084,"Augsburg","Bundesliga","ECU","M"
"Nicolás Spolli","2017-2018",34,"Central Def","Reactive Central Defender",-0.05,0,0,0,-0.01,-0.03,0.01,1798,"Genoa","Serie A M","ARG","M"
"Pablo Galdames Millán","2021-2022",24,"Midfielder","Creative Midfielder",-0.05,0,-0.01,0.01,-0.02,-0.01,-0.01,1028,"Genoa","Serie A M","CHI","M"
"Florian Flick","2022-2023",22,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,0,0,0,-0.04,0,512,"Schalke 04","Bundesliga","GER","M"
"Andros Townsend","2019-2020",28,"Creator","Wide Creator",-0.05,-0.02,-0.04,0.01,0.02,-0.02,0.01,1294,"Crystal Palace","Premier League","ENG","M"
"Koffi Djidji","2017-2018",24,"Central Def","Aggressive Central Defender",-0.05,-0.01,-0.01,0,0,-0.02,0,2416,"Nantes","Ligue 1","CIV","M"
"Ohis Felix Uduokhai","2019-2020",21,"Central Def","Reactive Central Defender",-0.05,0,-0.01,-0.01,-0.01,-0.03,0.03,1966,"Augsburg","Bundesliga","GER","M"
"Chris Löwe","2018-2019",29,"Wide Def","Progressive Wide Defender",-0.05,0,0.01,0,0,-0.03,-0.02,2057,"Huddersfield","Premier League","GER","M"
"Jordi","2023-2024",22,"Creator","Two Way Creator",-0.05,-0.01,0,0,-0.02,-0.03,0.02,573,"Getafe","La Liga","ESP","M"
"Vittorio Parigini","2017-2018",21,"Dribbler","Wide Dribbler",-0.05,-0.01,-0.02,-0.01,0.02,-0.02,0,857,"Benevento","Serie A M","ITA","M"
"Filippo Romagna","2018-2019",21,"Central Def","Reactive Central Defender",-0.05,0,0,0,0,-0.02,-0.01,1474,"Cagliari","Serie A M","ITA","M"
"Robin Koch","2017-2018",21,"Central Def","Aggressive Central Defender",-0.05,0,0.01,0,-0.01,-0.03,-0.02,1919,"Freiburg","Bundesliga","GER","M"
"Adrian Mariappa","2019-2020",32,"Wide Def","Deep Wide Defender",-0.05,-0.01,-0.01,-0.01,-0.02,0,0.01,1513,"Watford","Premier League","JAM","M"
"Cristian Gamboa","2022-2023",32,"Wide Def","Progressive Wide Defender",-0.05,-0.02,-0.01,-0.02,0,0.02,0,1477,"Bochum","Bundesliga","CRC","M"
"Zakaria Bakkali","2017-2018",21,"Dribbler","Wide Dribbler",-0.05,0,-0.01,-0.01,-0.01,0,0,909,"La Coruña","La Liga","BEL","M"
"Bryan Reynolds","2020-2021",19,"Wide Def","Aggressive Wide Defender",-0.05,-0.01,-0.01,0,0,0,-0.01,283,"Roma","Serie A M","USA","M"
"Lucas Torró","2023-2024",29,"Midfielder","Ball Winning Midfielder",-0.05,0,0,-0.01,-0.01,-0.04,0.01,1788,"Osasuna","La Liga","ESP","M"
"Abdu Conté","2021-2022",23,"Wide Def","Aggressive Wide Defender",-0.05,0,-0.01,0.01,0,0,-0.03,1347,"Troyes","Ligue 1","POR","M"
"Oscar Wendt","2020-2021",34,"Wide Def","Deep Wide Defender",-0.05,0,0.01,0,-0.02,-0.01,-0.02,1254,"M'Gladbach","Bundesliga","SWE","M"
"Nampalys Mendy","2017-2018",25,"Deep Midfielder","Playmaking Deep Midfielder",-0.05,-0.01,-0.02,0,0,0.01,-0.03,965,"Nice","Ligue 1","SEN","M"
"Miguel","2021-2022",21,"Finisher","Mobile Forward",-0.05,0.01,-0.04,-0.02,0.01,-0.01,0,829,"Alavés","La Liga","ESP","M"
"Jesús Corona","2021-2022",28,"Dribbler","Wide Dribbler",-0.05,0,-0.02,0,-0.01,0,-0.01,1157,"Sevilla","La Liga","MEX","M"
"Dedryck Boyata","2020-2021",29,"Central Def","Reactive Central Defender",-0.05,0,0,0.01,-0.01,-0.05,0,1545,"Hertha BSC","Bundesliga","BEL","M"
"Toni Lato","2023-2024",25,"Wide Def","Aggressive Wide Defender",-0.05,0,-0.01,0,0,-0.03,-0.01,1544,"Mallorca","La Liga","ESP","M"
"Javi Moyano","2018-2019",32,"Wide Def","Deep Wide Defender",-0.05,-0.01,-0.01,-0.02,-0.01,0,0,2098,"Valladolid","La Liga","ESP","M"
"Bruno González","2020-2021",30,"Central Def","Reactive Central Defender",-0.05,0,-0.01,0,0,-0.03,0.01,2263,"Valladolid","La Liga","ESP","M"
"Fran Beltrán","2019-2020",20,"Midfielder","Mobile Midfielder",-0.05,0,-0.01,-0.01,-0.01,-0.01,0,1830,"Celta Vigo","La Liga","ESP","M"
"Álvaro Vadillo","2019-2020",24,"Dribbler","Wide Dribbler",-0.05,-0.01,-0.05,0.01,0,0,0,1218,"Granada","La Liga","ESP","M"
"Igor Carioca","2021-2022",24,"Wide Def","Aggressive Wide Defender",-0.05,0,0,-0.01,0,-0.02,-0.01,1578,"Lorient","Ligue 1","BRA","M"
"Nikola Vukčević","2019-2020",27,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,-0.02,0,0,-0.01,-0.01,1569,"Levante","La Liga","MNE","M"
"Esteban Saveljich","2021-2022",30,"Central Def","Reactive Central Defender",-0.05,0,0,0,0,-0.03,-0.01,1700,"Rayo Vallecano","La Liga","MNE","M"
"Raúl Guti","2021-2022",24,"Midfielder","Creative Midfielder",-0.05,-0.01,-0.01,-0.01,0,-0.01,-0.01,1627,"Elche","La Liga","ESP","M"
"Daniel Maldini","2022-2023",20,"Dribbler","Wide Dribbler",-0.05,-0.03,0,-0.01,-0.01,-0.01,0.01,628,"Spezia","Serie A M","ITA","M"
"Blerim Džemaili","2017-2018",31,"Creator","Two Way Creator",-0.05,-0.01,-0.03,-0.01,0,0.01,0.01,1193,"Bologna","Serie A M","SUI","M"
"Patrick Cutrone","2018-2019",20,"Finisher","Mobile Forward",-0.05,0,-0.05,0,0,-0.01,0,1457,"Milan","Serie A M","ITA","M"
"Reinildo Mandava","2019-2020",25,"Wide Def","Progressive Wide Defender",-0.05,0,-0.01,-0.01,0,-0.03,0,1110,"Lille","Ligue 1","MOZ","M"
"Kevin Vogt","2019-2020",27,"Central Def","Progressive Central Defender",-0.05,0,-0.02,0,-0.01,0,-0.01,1105,"Werder Bremen","Bundesliga","GER","M"
"Agustín Rogel","2019-2020",21,"Central Def","Reactive Central Defender",-0.05,0,0,0,-0.01,-0.04,0,858,"Toulouse","Ligue 1","URU","M"
"Andi Zeqiri","2021-2022",22,"Finisher","Progressive Forward",-0.05,-0.02,-0.01,-0.01,-0.01,0.01,0,1016,"Augsburg","Bundesliga","SUI","M"
"Theo Walcott","2022-2023",33,"Finisher","Mobile Forward",-0.05,-0.01,-0.05,0.02,0.01,-0.01,0,1129,"Southampton","Premier League","ENG","M"
"Manuel Gulde","2017-2018",26,"Central Def","Reactive Central Defender",-0.05,0,0.01,0,0,-0.02,-0.03,1530,"Freiburg","Bundesliga","GER","M"
"Davie Selke","2021-2022",26,"Finisher","Target Forward",-0.05,-0.01,-0.02,-0.01,0,-0.01,0,1004,"Hertha BSC","Bundesliga","GER","M"
"Paul Lasne","2019-2020",30,"Creator","Two Way Creator",-0.05,0,-0.04,-0.01,-0.02,0.01,0,1224,"Brest","Ligue 1","FRA","M"
"Jacob Ramsey","2020-2021",19,"Midfielder","Ball Winning Midfielder",-0.05,0,-0.01,-0.01,-0.01,-0.02,0,626,"Aston Villa","Premier League","ENG","M"
"Adrian Beck","2023-2024",26,"Creator","Two Way Creator",-0.05,0,-0.01,-0.02,0,-0.02,0.01,974,"Heidenheim","Bundesliga","GER","M"
"Christian Atsu","2018-2019",26,"Dribbler","Wide Dribbler",-0.05,-0.02,-0.02,-0.01,0,0,0,1493,"Newcastle Utd","Premier League","GHA","M"
"Lorenzo Venuti","2020-2021",25,"Wide Def","Aggressive Wide Defender",-0.05,-0.01,-0.02,0,-0.01,0,-0.02,1757,"Fiorentina","Serie A M","ITA","M"
"Oumar Niasse","2018-2019",28,"Finisher","Mobile Forward",-0.05,-0.02,-0.04,-0.01,0.01,0.01,0,931,"Cardiff City","Premier League","SEN","M"
"Aarón Martín","2020-2021",23,"Wide Def","Progressive Wide Defender",-0.05,0,-0.01,0.01,0,0,-0.03,262,"Mainz 05","Bundesliga","ESP","M"
"Mehmet Aydin","2022-2023",20,"Wide Def","Aggressive Wide Defender",-0.05,-0.01,-0.01,0,0,-0.02,0.03,567,"Schalke 04","Bundesliga","GER","M"
"Soualiho Meïté","2020-2021",26,"Midfielder","Mobile Midfielder",-0.05,0,0,-0.01,0,-0.03,-0.01,920,"Torino","Serie A M","FRA","M"
"Pasquale Mazzocchi","2021-2022",26,"Wide Def","Aggressive Wide Defender",-0.05,-0.01,-0.01,-0.01,0.01,-0.02,0,1243,"Venezia","Serie A M","ITA","M"
"Stéphane Bahoken","2019-2020",27,"Finisher","Mobile Forward",-0.05,0,-0.03,0,-0.01,0,-0.01,907,"Angers","Ligue 1","CMR","M"
"Ike Ugbo","2021-2022",22,"Finisher","Target Forward",-0.05,-0.02,0,-0.01,-0.01,0,-0.01,814,"Troyes","Ligue 1","CAN","M"
"Ben Osborn","2020-2021",25,"Creator","Wide Creator",-0.05,-0.01,-0.05,0,-0.01,0,0.01,1604,"Sheffield Utd","Premier League","ENG","M"
"Iglesias","2021-2022",23,"Wide Def","Progressive Wide Defender",-0.05,-0.01,-0.01,0,0,-0.03,0.02,719,"Getafe","La Liga","ESP","M"
"Domagoj Bradarić","2020-2021",20,"Wide Def","Aggressive Wide Defender",-0.05,0,0,0,0,-0.03,-0.01,1263,"Lille","Ligue 1","CRO","M"
"Willian José","2022-2023",30,"Finisher","Progressive Forward",-0.05,-0.03,-0.02,0.01,-0.01,-0.01,0.02,731,"Betis","La Liga","BRA","M"
"Filip Đuričić","2018-2019",26,"Creator","Two Way Creator",-0.05,0,-0.02,-0.01,-0.02,-0.02,0,1252,"Sassuolo","Serie A M","SRB","M"
"Benjamin Corgnet","2017-2018",30,"Creator","Two Way Creator",-0.05,0,0,-0.01,-0.01,-0.03,0,1376,"Strasbourg","Ligue 1","FRA","M"
"Javier Manquillo","2021-2022",27,"Wide Def","Deep Wide Defender",-0.05,-0.01,-0.01,-0.02,-0.01,-0.02,0.01,1257,"Newcastle Utd","Premier League","ESP","M"
"Lloyd Kelly","2023-2024",24,"Central Def","Aggressive Central Defender",-0.05,0,-0.02,0.01,0,-0.01,0,1559,"Bournemouth","Premier League","ENG","M"
"Aridane Hernández","2023-2024",34,"Central Def","Reactive Central Defender",-0.05,0,-0.01,0,-0.01,-0.03,0.01,1690,"Rayo Vallecano","La Liga","ESP","M"
"Tom Edwards","2017-2018",18,"Wide Def","Deep Wide Defender",-0.05,0,-0.01,0,0,-0.01,0,481,"Stoke City","Premier League","ENG","M"
"Carlos Gruezo","2022-2023",27,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,-0.02,0,0,-0.01,-0.01,961,"Augsburg","Bundesliga","ECU","M"
"Nemanja Maksimović","2017-2018",22,"Midfielder","Ball Winning Midfielder",-0.05,0,-0.01,-0.01,0,-0.05,0.01,557,"Valencia","La Liga","SRB","M"
"Radu Drăgușin","2021-2022",19,"Central Def","Aggressive Central Defender",-0.05,0,-0.01,0,0,-0.02,-0.01,488,"Salernitana","Serie A M","ROU","M"
"Mikel Vesga","2018-2019",25,"Midfielder","Ball Winning Midfielder",-0.05,0,-0.02,0,-0.01,-0.03,0,2070,"Leganés","La Liga","ESP","M"
"Tom Lacoux","2020-2021",18,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,0,0,-0.01,-0.05,0.02,523,"Bordeaux","Ligue 1","FRA","M"
"Arber Zeneli","2020-2021",25,"Dribbler","Direct Dribbler",-0.05,0,-0.03,-0.01,0.01,-0.01,-0.01,1289,"Reims","Ligue 1","KVX","M"
"Hernani","2021-2022",27,"Midfielder","Ball Winning Midfielder",-0.05,0,0.01,-0.01,-0.01,-0.03,0,682,"Genoa","Serie A M","BRA","M"
"Juan Jesus","2021-2022",30,"Central Def","Reactive Central Defender",-0.05,0,-0.01,0,-0.01,-0.01,-0.01,1278,"Napoli","Serie A M","BRA","M"
"Luke Thomas","2023-2024",22,"Wide Def","Deep Wide Defender",-0.05,-0.01,0,-0.02,-0.01,0.01,-0.01,917,"Sheffield Utd","Premier League","ENG","M"
"Andy Pelmard","2020-2021",20,"Central Def","Aggressive Central Defender",-0.05,-0.01,-0.01,0,0.02,-0.02,-0.01,1207,"Nice","Ligue 1","FRA","M"
"Franck Ribéry","2021-2022",38,"Creator","Central Creator",-0.05,0.01,-0.06,0.01,0,-0.01,-0.01,1421,"Salernitana","Serie A M","FRA","M"
"Christopher Antwi-Adjei","2021-2022",27,"Dribbler","Direct Dribbler",-0.05,0,-0.02,-0.03,0,-0.01,0.01,1130,"Bochum","Bundesliga","GHA","M"
"Raúl de Tomás","2023-2024",28,"Finisher","Progressive Forward",-0.05,0,-0.04,-0.01,0,0,0,1272,"Rayo Vallecano","La Liga","ESP","M"
"Luca Fiordilino","2021-2022",25,"Midfielder","Ball Winning Midfielder",-0.05,0,-0.02,-0.01,-0.01,-0.01,0.02,661,"Venezia","Serie A M","ITA","M"
"Abdelhamid Sabiri","2022-2023",25,"Creator","Wide Creator",-0.05,0,-0.01,0,-0.02,0,-0.01,1069,"Sampdoria","Serie A M","MAR","M"
"Pierre-Yves Hamel","2020-2021",26,"Finisher","Target Forward",-0.05,-0.02,-0.02,-0.01,-0.01,0,0.01,849,"Lorient","Ligue 1","FRA","M"
"Fernando","2022-2023",35,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,-0.02,-0.01,0,-0.02,0,1577,"Sevilla","La Liga","BRA","M"
"Pablo Hervías","2019-2020",26,"Dribbler","Wide Dribbler",-0.05,-0.03,-0.04,-0.01,0.02,-0.02,0.01,1017,"Valladolid","La Liga","ESP","M"
"Kévin Keben Biakolo","2023-2024",19,"Central Def","Aggressive Central Defender",-0.05,0,-0.02,0,0,-0.01,-0.02,521,"Toulouse","Ligue 1","CMR","M"
"Adama Traoré","2022-2023",26,"Dribbler","Wide Dribbler",-0.05,-0.01,-0.06,0.02,0.03,-0.01,0,1496,"Wolves","Premier League","ESP","M"
"Arnaud Lusamba","2019-2020",22,"Midfielder","Ball Winning Midfielder",-0.05,0,-0.02,0,-0.01,-0.01,-0.02,982,"Nice","Ligue 1","COD","M"
"Nicola Murru","2021-2022",26,"Wide Def","Progressive Wide Defender",-0.05,0,-0.02,-0.01,-0.01,-0.01,0.01,983,"Sampdoria","Serie A M","ITA","M"
"Sergio Álvarez","2019-2020",27,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,-0.02,-0.01,0,-0.02,0.01,1147,"Eibar","La Liga","ESP","M"
"Daniel Amartey","2017-2018",22,"Wide Def","Deep Wide Defender",-0.05,-0.01,-0.01,-0.01,-0.01,0.01,0,487,"Leicester City","Premier League","GHA","M"
"Samir Santos","2021-2022",26,"Central Def","Reactive Central Defender",-0.05,-0.01,-0.01,0,0,-0.03,0.01,1673,"Watford","Premier League","BRA","M"
"Frédéric Sammaritano","2020-2021",34,"Creator","Wide Creator",-0.05,-0.01,-0.03,0.01,-0.01,-0.01,0,1130,"Dijon","Ligue 1","FRA","M"
"Chris Smalling","2018-2019",28,"Central Def","Reactive Central Defender",-0.05,0,0,0,-0.01,-0.03,-0.01,2127,"Manchester Utd","Premier League","ENG","M"
"Filip Uremović","2022-2023",25,"Central Def","Aggressive Central Defender",-0.05,0,0,0,0,-0.05,0.01,1726,"Hertha BSC","Bundesliga","CRO","M"
"Allan Nyom","2018-2019",30,"Wide Def","Aggressive Wide Defender",-0.05,-0.01,-0.01,0.01,-0.01,-0.01,-0.01,1708,"Leganés","La Liga","CMR","M"
"Adrien Thomasson","2022-2023",28,"Creator","Two Way Creator",-0.05,0.02,-0.02,0,-0.02,-0.03,-0.01,937,"Strasbourg","Ligue 1","FRA","M"
"Isaac Hayden","2020-2021",25,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,0,-0.01,-0.01,-0.04,0.01,1942,"Newcastle Utd","Premier League","ENG","M"
"Mark Noble","2020-2021",33,"Midfielder","Creative Midfielder",-0.05,-0.01,-0.03,-0.01,-0.01,0.02,-0.01,712,"West Ham","Premier League","ENG","M"
"Mikel Rico","2017-2018",32,"Midfielder","Ball Winning Midfielder",-0.05,0,-0.01,0,-0.01,-0.01,0,1171,"Athletic Club","La Liga","ESP","M"
"Mikkel Kaufmann","2023-2024",22,"Finisher","Target Forward",-0.05,0,-0.04,0,-0.01,0.01,0,486,"Union Berlin","Bundesliga","DEN","M"
"Aaron Ramsey","2023-2024",20,"Midfielder","Ball Winning Midfielder",-0.05,0,-0.01,0,-0.01,-0.04,0.01,527,"Burnley","Premier League","ENG","M"
"Marc Navarro","2017-2018",22,"Wide Def","Aggressive Wide Defender",-0.05,0.01,0.03,0,-0.02,-0.03,-0.02,1109,"Espanyol","La Liga","ESP","M"
"Mahdi Camara","2019-2020",21,"Midfielder","Ball Winning Midfielder",-0.05,0,-0.02,-0.01,0,-0.03,0.01,901,"Saint-Étienne","Ligue 1","FRA","M"
"Fredrik Jensen","2022-2023",24,"Finisher","Progressive Forward",-0.05,-0.02,-0.07,0.01,-0.01,0.01,0.01,924,"Augsburg","Bundesliga","FIN","M"
"Paul-Georges Ntep","2017-2018",25,"Dribbler","Wide Dribbler",-0.05,-0.02,-0.04,-0.02,0.01,-0.01,0.01,511,"Saint-Étienne","Ligue 1","CMR","M"
"Samu Castillejo","2020-2021",25,"Dribbler","Wide Dribbler",-0.05,-0.01,-0.02,-0.02,0,0.01,0.01,1181,"Milan","Serie A M","ESP","M"
"Timothy Chandler","2021-2022",31,"Wide Def","Aggressive Wide Defender",-0.05,0.01,0.01,-0.01,-0.01,-0.03,0,1212,"Eint Frankfurt","Bundesliga","USA","M"
"José Callejón","2021-2022",34,"Creator","Wide Creator",-0.05,0,-0.03,0.01,0,-0.01,-0.01,1298,"Fiorentina","Serie A M","ESP","M"
"Benjamin Jeannot","2017-2018",25,"Finisher","Target Forward",-0.05,-0.01,-0.05,0,-0.01,0,0.01,1407,"Dijon","Ligue 1","FRA","M"
"Alexander Fuchs","2018-2019",21,"Creator","Two Way Creator",-0.05,0,-0.04,0,-0.02,0,0.02,655,"Nürnberg","Bundesliga","GER","M"
"Illia Zabarnyi","2022-2023",19,"Central Def","Progressive Central Defender",-0.05,-0.01,-0.02,0,0,-0.03,0.01,299,"Bournemouth","Premier League","UKR","M"
"Adrià Altimira","2023-2024",22,"Wide Def","Deep Wide Defender",-0.05,-0.02,-0.02,-0.02,0,0.01,-0.02,775,"Villarreal","La Liga","ESP","M"
"Otávio","2020-2021",26,"Deep Midfielder","Defensive Deep Midfielder",-0.05,-0.01,-0.01,-0.01,-0.01,-0.02,0.01,1559,"Bordeaux","Ligue 1","BRA","M"
"Nicolas Cozza","2019-2020",20,"Central Def","Reactive Central Defender",-0.05,0,-0.01,0,-0.01,-0.03,-0.01,556,"Montpellier","Ligue 1","FRA","M"
"Idrissa Doumbia","2020-2021",22,"Deep Midfielder","Playmaking Deep Midfielder",-0.05,0,0,0,0,-0.02,-0.01,779,"Huesca","La Liga","CIV","M"
"Kostas Stafylidis","2017-2018",23,"Wide Def","Deep Wide Defender",-0.05,-0.01,0.01,-0.01,-0.01,-0.03,0.03,335,"Stoke City","Premier League","GRE","M"
"Borja Mayoral","2021-2022",24,"Finisher","Progressive Forward",-0.05,0,-0.05,0,0,0.01,0,1044,"Getafe","La Liga","ESP","M"
"Jan Morávek","2018-2019",28,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,-0.01,0,0,-0.05,0.01,757,"Augsburg","Bundesliga","CZE","M"
"Fin Bartels","2017-2018",30,"Dribbler","Direct Dribbler",-0.05,0,-0.02,0,-0.01,0,-0.01,1121,"Werder Bremen","Bundesliga","GER","M"
"Ezequiel Muñoz","2017-2018",26,"Central Def","Reactive Central Defender",-0.05,0,-0.01,0,0,-0.06,0.02,1407,"Leganés","La Liga","ARG","M"
"Oliver Fink","2019-2020",37,"Creator","Two Way Creator",-0.05,0.01,-0.04,-0.02,-0.01,-0.01,0.02,675,"Düsseldorf","Bundesliga","GER","M"
"Shavy Babicka","2023-2024",23,"Dribbler","Wide Dribbler",-0.05,-0.02,0,-0.01,0,-0.04,0.01,373,"Toulouse","Ligue 1","GAB","M"
"Marvelous Nakamba","2019-2020",25,"Deep Midfielder","Defensive Deep Midfielder",-0.05,0,-0.01,-0.01,0,-0.04,0.01,1836,"Aston Villa","Premier League","ZIM","M"
"Robin Koch","2021-2022",25,"Central Def","Aggressive Central Defender",-0.05,0,0,0,-0.01,-0.02,-0.02,1574,"Leeds United","Premier League","GER","M"
"Borja García","2020-2021",29,"Creator","Central Creator",-0.05,0,-0.01,-0.02,-0.01,0,0,1117,"Huesca","La Liga","ESP","M"
"Romain Del Castillo","2018-2019",22,"Dribbler","Wide Dribbler",-0.05,-0.01,-0.06,0.02,0.01,-0.01,0.01,1343,"Rennes","Ligue 1","FRA","M"
"Francis Guerrero","2017-2018",21,"Wide Def","Aggressive Wide Defender",-0.05,0.01,0,0,0,-0.04,0,993,"Betis","La Liga","ESP","M"
"Matt Doherty","2020-2021",28,"Wide Def","Deep Wide Defender",-0.05,0,-0.01,-0.01,-0.01,-0.02,0.01,1240,"Tottenham","Premier League","IRL","M"
"Christian Günter","2023-2024",30,"Wide Def","Aggressive Wide Defender",-0.05,0,0,0.01,-0.01,-0.03,-0.01,1060,"Freiburg","Bundesliga","GER","M"
"Kike Barja","2023-2024",26,"Dribbler","Wide Dribbler",-0.05,0,-0.05,0,0.02,-0.02,0,303,"Osasuna","La Liga","ESP","M"
"Miguel Trauco","2021-2022",28,"Wide Def","Progressive Wide Defender",-0.05,-0.01,0,-0.01,-0.01,-0.01,0,1112,"Saint-Étienne","Ligue 1","PER","M"
"Erik Pieters","2020-2021",31,"Wide Def","Deep Wide Defender",-0.05,-0.01,-0.01,-0.01,-0.01,-0.01,0,1266,"Burnley","Premier League","NED","M"
"Andrew Surman","2018-2019",31,"Deep Midfielder","Playmaking Deep Midfielder",-0.05,0,-0.01,0,-0.01,0,-0.02,1439,"Bournemouth","Premier League","ENG","M"
"Victor Lindelöf","2023-2024",29,"Central Def","Aggressive Central Defender",-0.05,0,0,0,0,-0.01,-0.02,1328,"Manchester Utd","Premier League","SWE","M"
"Niclas Füllkrug","2018-2019",25,"Finisher","Progressive Forward",-0.05,0,-0.02,-0.01,0,0,0,1112,"Hannover 96","Bundesliga","GER","M"
"Andrea Belotti","2022-2023",28,"Finisher","Target Forward",-0.05,0,-0.03,0,0,-0.01,0,1146,"Roma","Serie A M","ITA","M"
"José Manuel Jurado","2017-2018",31,"Creator","Central Creator",-0.05,-0.01,-0.03,-0.02,0.01,-0.01,0,1501,"Espanyol","La Liga","ESP","M"
"Stoppila Sunzu","2019-2020",30,"Central Def","Reactive Central Defender",-0.05,0,-0.01,0,-0.01,-0.03,0,1352,"Metz","Ligue 1","ZAM","M"
